🧘‍♂️ Top 500 meditative pairs (stability 6–8, highest (fire+peace)/2):

01. 1992-03-14T13:10 | meditate=true | fire=6 | peace=9.5 | stability=6 | growth=5.60 | avgFirePeace=7.75
02. 1992-03-16T13:10 | meditate=true | fire=5.5 | peace=10 | stability=6 | growth=4.55 | avgFirePeace=7.75
03. 1992-03-15T13:10 | meditate=true | fire=5.5 | peace=8 | stability=6 | growth=6.00 | avgFirePeace=6.75
04. 1992-09-08T13:10 | meditate=true | fire=6 | peace=7.5 | stability=7 | growth=7.00 | avgFirePeace=6.75
05. 1992-12-04T13:10 | meditate=true | fire=5.5 | peace=8 | stability=8 | growth=6.00 | avgFirePeace=6.75
06. 1988-10-01T13:10 | meditate=true | fire=4 | peace=9 | stability=7 | growth=3.50 | avgFirePeace=6.50
07. 1990-06-12T13:10 | meditate=true | fire=7.5 | peace=5.5 | stability=8 | growth=10.20 | avgFirePeace=6.50
08. 1988-07-01T13:10 | meditate=true | fire=5 | peace=7.5 | stability=6 | growth=4.80 | avgFirePeace=6.25
09. 1990-09-19T13:10 | meditate=true | fire=7.5 | peace=5 | stability=6 | growth=10.50 | avgFirePeace=6.25
10. 1991-12-26T13:10 | meditate=true | fire=6 | peace=6.5 | stability=8 | growth=6.60 | avgFirePeace=6.25
11. 1992-03-06T13:10 | meditate=true | fire=5.5 | peace=7 | stability=8 | growth=6.00 | avgFirePeace=6.25
12. 1992-03-13T13:10 | meditate=true | fire=6 | peace=6.5 | stability=6 | growth=7.00 | avgFirePeace=6.25
13. 1992-03-23T13:10 | meditate=true | fire=6.5 | peace=6 | stability=8 | growth=8.25 | avgFirePeace=6.25
14. 1988-06-28T13:10 | meditate=true | fire=4.5 | peace=7.5 | stability=8 | growth=4.40 | avgFirePeace=6.00
15. 1989-03-03T13:10 | meditate=true | fire=3 | peace=9 | stability=7 | growth=1.80 | avgFirePeace=6.00
16. 1989-06-13T13:10 | meditate=true | fire=3 | peace=9 | stability=7 | growth=3.00 | avgFirePeace=6.00
17. 1990-06-13T13:10 | meditate=true | fire=7 | peace=5 | stability=7 | growth=8.80 | avgFirePeace=6.00
18. 1992-03-05T13:10 | meditate=true | fire=5.5 | peace=6.5 | stability=7 | growth=6.75 | avgFirePeace=6.00
19. 1989-03-04T13:10 | meditate=true | fire=3 | peace=8.5 | stability=7 | growth=2.10 | avgFirePeace=5.75
20. 1989-03-05T13:10 | meditate=true | fire=3 | peace=8.5 | stability=7 | growth=2.10 | avgFirePeace=5.75
21. 1989-06-24T13:10 | meditate=true | fire=2.5 | peace=9 | stability=7 | growth=2.45 | avgFirePeace=5.75
22. 1992-03-17T13:10 | meditate=true | fire=5.5 | peace=6 | stability=6 | growth=5.85 | avgFirePeace=5.75
23. 1994-12-06T13:10 | meditate=true | fire=4.5 | peace=7 | stability=6 | growth=4.95 | avgFirePeace=5.75
24. 1989-07-02T13:10 | meditate=true | fire=2 | peace=9 | stability=6 | growth=2.10 | avgFirePeace=5.50
25. 1990-03-15T13:10 | meditate=true | fire=6.5 | peace=4.5 | stability=6 | growth=8.45 | avgFirePeace=5.50
26. 1990-06-17T13:10 | meditate=true | fire=6.5 | peace=4.5 | stability=7 | growth=9.00 | avgFirePeace=5.50
27. 1992-09-07T13:10 | meditate=true | fire=5 | peace=6 | stability=7 | growth=6.60 | avgFirePeace=5.50
28. 1993-10-01T13:10 | meditate=true | fire=4.5 | peace=6.5 | stability=8 | growth=5.85 | avgFirePeace=5.50
29. 1988-03-30T13:10 | meditate=true | fire=7 | peace=3.5 | stability=6 | growth=10.50 | avgFirePeace=5.25
30. 1989-12-13T13:10 | meditate=true | fire=5.5 | peace=5 | stability=8 | growth=6.60 | avgFirePeace=5.25
31. 1990-06-14T13:10 | meditate=true | fire=6 | peace=4.5 | stability=6 | growth=8.40 | avgFirePeace=5.25
32. 1990-12-04T13:10 | meditate=true | fire=4 | peace=6.5 | stability=8 | growth=5.40 | avgFirePeace=5.25
33. 1991-12-25T13:10 | meditate=true | fire=6 | peace=4.5 | stability=8 | growth=8.40 | avgFirePeace=5.25
34. 1991-12-27T13:10 | meditate=true | fire=6 | peace=4.5 | stability=8 | growth=7.80 | avgFirePeace=5.25
35. 1993-01-26T13:10 | meditate=true | fire=6 | peace=4.5 | stability=7 | growth=8.40 | avgFirePeace=5.25
36. 1993-03-14T13:10 | meditate=true | fire=5.5 | peace=5 | stability=7 | growth=8.45 | avgFirePeace=5.25
37. 1993-07-05T13:10 | meditate=true | fire=7 | peace=3.5 | stability=7 | growth=10.50 | avgFirePeace=5.25
38. 1988-07-11T13:10 | meditate=true | fire=4 | peace=6 | stability=7 | growth=6.00 | avgFirePeace=5.00
39. 1988-11-25T13:10 | meditate=true | fire=3 | peace=7 | stability=8 | growth=4.20 | avgFirePeace=5.00
40. 1989-06-15T13:10 | meditate=true | fire=1.5 | peace=8.5 | stability=6 | growth=1.80 | avgFirePeace=5.00
41. 1989-06-22T13:10 | meditate=true | fire=2 | peace=8 | stability=6 | growth=3.50 | avgFirePeace=5.00
42. 1989-09-30T13:10 | meditate=true | fire=3.5 | peace=6.5 | stability=7 | growth=4.50 | avgFirePeace=5.00
43. 1991-12-24T13:10 | meditate=true | fire=5.5 | peace=4.5 | stability=8 | growth=8.25 | avgFirePeace=5.00
44. 1992-03-02T13:10 | meditate=true | fire=5 | peace=5 | stability=7 | growth=6.60 | avgFirePeace=5.00
